Beta_Carot,Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12,Vit_B6_(mg),Vit_C_(mg),Vit_D,Vit_E_(mg),Water_(g)
0,0.002444,0.002501,0.201774,0,0.01069,0.0988,0.030942,7.65E-04,0.268341,0.013004,0.001118,0.016842,0.051195,0,0.007117,0.005355,0.648749
0,9.51E-04,0.722144,0.447894,0.033898,0.008352,0.127,0.029536,0.01575,0.042056,0.006373,0,9.02E-04,0.016783,0,0,0.003651,0.106106
0,0.009641,0.437087,0.28714,0.092279,0.038196,0.048,0.04782,0.01264,0.133178,0.011559,1.86E-04,0,0.006781,0,0,0.011685,0.385385
0,0.002173,0.018204,0.272727,0.001883,0.013474,0.1209,0.037975,4.32E-04,0.355724,0.001987,0.001863,0.009925,0.091541,0,0.003559,0.013875,0.547147
0,9.51E-04,0,0.178492,0,0.022717,0.0829,0.030942,0.001181,0.25257,0.001445,1.86E-04,0.058947,0.0812,0,0.003559,0.004382,0.697197
0,0.002309,0.031506,0.298226,0.001883,0.015367,0.1492,0.035162,5.65E-04,0.333645,0.002167,0.002515,0.009323,0.069503,0,0.003559,0.015336,0.524625
0,0.002309,0.476095,0.284922,0.030132,0.029621,0.045,0.021097,0.005006,0.078271,0.025466,0,0,0.004068,0,0,0.001461,0.379379
0,0.002852,0,0.194013,0,0.009465,0.0694,0.036568,4.99E-04,0.307477,0.002477,0,0.039398,0.062722,0,0,0.011928,0.646547
3.80E-05,0.006247,0.680136,0.444568,0.022599,0.025501,0.136,0.029536,0.005073,0.047897,0.008721,7.45E-04,9.02E-04,0.008815,2.11E-04,0,0.054041,0.131131
1.91E-04,0.002037,0.411082,0.303769,0.041431,0.004677,0.112,0.012658,0.00316,0.038551,0.004051,5.59E-04,0.006617,0.007798,8.95E-04,0,0.034567,0.435435
0,6.79E-04,0,0.129712,0,0.008797,0.0308,0.036568,4.82E-04,0.245093,0.001625,0,0.031278,0.077979,0,0,0.007303,0.748749
0,0.007197,0.656131,0.529933,0.035782,0.028953,0.211,0.068917,0.015168,0.102804,0.009495,9.30E-05,0.006917,0.023563,5.30E-05,0,0.045521,0.028028
0,0.004481,0,0.245011,0,0.025278,0.1154,0.032349,3.83E-04,0.321145,0.001961,0,0.010827,0.054246,0,0.003559,0.014849,0.602903
7.60E-05,0.006654,0.20124,0.196231,0.07533,0.017372,0.0859,0.040788,0.00943,0.056776,0.006244,0,0,0.067639,0.004158,0,0.018257,0.649349
8.41E-04,0.003666,0.229046,0.097561,0.041431,0.003118,0.001,0.014065,0.001397,0.004439,2.60E-05,1.86E-04,0,0.011866,5.26E-04,0,0.002921,0.764064
0,4.07E-04,0,0.124169,0,0.008575,0.0195,0.040788,1.00E-04,0.27535,0.001316,6.52E-04,0.015338,0.145279,0,0.014235,0.001704,0.747347
0,0.00258,0.554111,0.332594,0.035782,0.03441,0.052,0.02391,0.005821,0.091121,0.025801,0,0,0.004916,0,0,0.001704,0.277277
0.001185,0.001901,0.021604,0.013304,0.013183,0.00245,0.0016,0.016878,0.001214,0.006893,5.20E-05,3.73E-04,0,0.008646,0.001684,0,7.30E-04,0.968268
4.97E-04,0.002444,0.108722,0.072062,0.033898,0.004232,0.0138,0.008439,4.99E-04,0.025234,3.10E-04,1.86E-04,6.02E-04,0.01407,1.05E-04,0,0.001704,0.854855
0,0.011678,0.066613,0.079823,0,0.00167,0.0029,0.015471,3.66E-04,0.120794,0.008514,1.86E-04,0.013835,0.002712,0,0,2.43E-04,0.810911
0,6.79E-04,0.10002,0.043237,0,4.45E-04,7.00E-04,0.002813,1.83E-04,0,5.20E-05,0,0,0,0,0,0.016553,0.876677
0,6.79E-04,0,0,0,1.11E-04,0,0.001406,1.70E-05,0,5.42E-04,0,0,0,0,0,0,1
0,0.001765,0,0.223947,0,0.010245,0.1045,0.036568,4.82E-04,0.293692,0.002141,0,0.042707,0.054246,0,0,0.010224,0.627227
0,0,0.003001,0.001109,0,2.23E-04,0,0.004219,0.003642,0,7.70E-05,0,0,0,0,0,0,0.997998
0,1.36E-04,0.14763,0.078714,0.015066,0.006347,0.0046,0.009845,6.15E-04,0.019977,5.20E-05,0,0,0.007798,0,0,7.30E-04,0.83013
0.001261,6.79E-04,0.194439,0.087583,0.037665,0.004677,0.005,0.032349,0.001114,0.028154,0.007018,3.73E-04,0,0.009324,0.004263,0,9.74E-04,0.766567
0,0.00258,0,0.174058,0,0.015033,0.0322,0.039381,3.33E-04,0.349299,0.001651,0,0.011128,0.091541,0,0.007117,0.002191,0.663363
0,0.003938,0.372074,0.330377,0.024482,0.008909,0.166,0.028129,0.007285,0.024533,0.007766,0.002515,0.003609,0.011527,0,0,0.003651,0.432432
1.91E-04,0.015345,0.205041,0.140798,0.035782,0.003452,0.037,0.02391,6.49E-04,0.03972,0.002503,0.002422,0.010226,0.008476,2.11E-04,0,0.002678,0.715716
0,0.002852,0.586017,0.538803,0.06968,0.023274,0.266,0.077356,0.015767,0.053738,0.003741,0,0,0.015257,2.11E-04,0,0.004625,0.090591
0,0,0,0.291574,0,4.45E-04,0,0,2.99E-04,0,2.60E-05,0,0,1.70E-04,0,0,0,0.621622
0.002676,0.00421,0.040008,0.018847,0.018832,0.010802,0.0013,0.015471,0.001281,0.009112,2.58E-04,5.59E-04,0,0.018817,0.004895,0,0.016553,0.943744
4.59E-04,0.001765,0.05201,0.029933,0.041431,0.005568,0.003,0.004219,0.004357,0.030374,1.03E-04,9.30E-05,0,0.040685,0.002105,0,0.024343,0.910911
0,9.51E-04,0,0.239468,0,0.03196,0.0773,0.032349,2.00E-04,0.401168,0.001161,0,0.056842,0.078149,0,0.003559,0.010954,0.575976
0,8.15E-04,0.008402,0.125277,0,0.009465,0.0301,0.030942,4.49E-04,0.240304,0.030445,0.001211,0.012632,0.078318,0,0.02847,0.006573,0.717818
0,0.002716,0,0.350333,0,0.020156,0.2308,0.033755,3.66E-04,0.294042,0.001987,0,0.074286,0.022038,0,0.003559,0.003165,0.516216
3.80E-05,0.007333,0.175835,0.095344,0.003766,0.00245,0.0098,0.007032,1.66E-04,0.020561,6.71E-04,0.001211,0.006917,0.005086,2.11E-04,0.017794,0.002191,0.793894
0,0.003938,0.031106,0.252772,0,0.009911,0.1124,0.033755,0.001264,0.332827,0.016797,0.001211,0.014135,0.076962,0,0.003559,0.008033,0.545846
3.44E-04,0.001494,0.340068,0.262749,0.030132,0.005011,0.11,0.009845,0.003027,0.022196,0.005186,0.00298,3.01E-04,0.006442,0.001684,0,0.037001,0.522523
0,0.003259,0,0.25388,0,0.016258,0.1243,0.035162,3.33E-04,0.31986,0.001574,0,0.010226,0.071199,0,0.003559,0.004138,0.595495
3.44E-04,0.001901,0.424785,0.191796,0.028249,0.003452,0.003,0.005626,0.005239,0.004556,3.87E-04,9.30E-05,0,0.006272,3.16E-04,0,0.001217,0.565065
0,9.51E-04,0,0.202882,0,0.009688,0.0462,0.045007,5.32E-04,0.3875,0.001987,0,0.045414,0.086455,0,0,0.010224,0.607407
3.80E-05,0.003259,0.186037,0.121951,0.001883,0.002004,0.044,0.002813,7.48E-04,0.003505,0.02962,9.30E-05,9.02E-04,0,0,0,0.017283,0.732733
0,0.00163,0,0.203991,0,0.012138,0.0899,0.032349,3.33E-04,0.280724,0.002529,0.001863,0.011429,0.070012,0,0.003559,0.004625,0.668068
0,0.001494,0,0.174058,0,0.032517,0.0713,0.029536,2.33E-04,0.254439,0.001935,0,0.056241,0.078657,0,0,0.010954,0.712212
4.59E-04,6.79E-04,0.044009,0.036585,0.003766,0.002004,0.0182,0.004219,4.49E-04,0.00771,0.010398,6.52E-04,6.02E-04,0.001526,2.11E-04,0,0.005355,0.924525
0,0.003123,0,0.199557,0,0.008909,0.0729,0.036568,1.50E-04,0.312617,0.001445,0,0.016241,0.118834,0,0.024911,0.002434,0.650751
5.73E-04,0.002037,0.072114,0.034368,0.033898,0.020267,0.0014,0.02391,0.004773,0.010631,0.005005,9.30E-05,0,0.009663,0.002158,0,7.30E-04,0.910511
0,4.07E-04,0.0017,0.001109,0,1.11E-04,0,0.002813,0.00652,7.01E-04,1.03E-04,0,0,1.70E-04,0,0,0,0.997197
0,0.002173,0,0.237251,0,0.032628,0.0736,0.032349,2.00E-04,0.404907,0.001445,0,0.07609,0.056281,0,0.003559,0.010954,0.578979
8.79E-04,0.001901,0.134527,0.05765,0.015066,0.004343,0.0012,0.022504,0.018245,0.004206,2.60E-05,1.86E-04,0,0.012544,0.003947,0,2.43E-04,0.858158
0,0.008963,0.039608,0.297118,0,0.016036,0.2143,0.018284,8.65E-04,0.163201,0.032819,0,0.039699,0.022038,0.001684,0.02847,0.005355,0.574575
0,8.15E-04,0,0.177384,0,0.010134,0.0465,0.039381,4.99E-04,0.323598,0.001754,0,0.035188,0.052551,0,0,0.011928,0.661662
0.003249,0.004753,0.191838,0.08204,0.054614,0.00412,0.003,0.02391,0.002129,0.008762,2.60E-05,6.52E-04,0,0.019156,0.001053,0,0.002678,0.791892
0,0.001765,0.837167,0.437916,0.056497,0.035189,0.014,0.035162,0.01081,0.116822,0,0,0,0.019495,0,0,0.001461,0.043043
0,0.002173,0,0.342572,0,0.029065,0.1993,0.028129,1.66E-04,0.352804,0.001264,0,0.073985,0.049161,0,0.010676,0.013145,0.493994
0,0.003802,0,0.149667,0,0.018151,0.0462,0.032349,2.33E-04,0.255958,0.001471,0,0.035789,0.101882,0,0.003559,0.008033,0.725826
0,0.001086,0,0.273836,0,0.029733,0.1187,0.029536,1.83E-04,0.38271,0.001109,0,0.054737,0.072894,0,0.007117,0.011685,0.55025
3.80E-05,0.012765,0.746149,0.484479,0.032015,0.052339,0.138,0.029536,0.009247,0.051402,0.016951,0,0,0.00695,1.05E-04,0,0.004869,0.044044
0,0.007197,0.795359,0.334812,0.07533,0.019933,0.0046,0.049226,0.005122,0.039603,3.10E-04,0,0,0.054755,0.001684,0,0.002921,0.14985
0,9.51E-04,0,0.184035,0,0.005902,0.0833,0.033755,1.16E-04,0.249299,0.001213,1.86E-04,0.016241,0.121716,0,0.017794,0.002921,0.702102
0,0.002444,0.776055,0.317073,0,0.00412,0,0.011252,0.001663,0,0.003999,0,0,0.001526,0,0,0,0.22032
0.001261,6.79E-04,0.194439,0.087583,0.037665,0.004677,0.005,0.032349,0.001114,0.028154,7.70E-05,3.73E-04,0,0.009324,0.004263,0,9.74E-04,0.766567
0,0.002037,0,0.115299,0,0.00412,0.0317,0.056259,4.16E-04,0.20771,0.001445,0.001118,0.075188,0.050856,0,0.024911,0.031402,0.781081
0.001147,4.07E-04,0.181336,0.079823,0.022599,0.004232,0.0042,0.02391,6.49E-04,0.020327,7.70E-05,3.73E-04,0,0.01068,0.002421,0,0.001704,0.788088
1.15E-04,0.004753,0.5006,0.282705,0.079096,0.022272,0.0422,0.014065,0.013056,0.049416,0.010656,9.31E-04,0.004812,0.00712,4.74E-04,0.003559,0.009494,0.3998
0,0.001086,0.044909,0.136364,0,0.008241,0.0546,0.021097,6.32E-04,0.16215,0.034445,0.001211,0.011128,0.044075,0,0.024911,0.005355,0.721822
0,0,0.003001,0.001109,0,2.23E-04,0,0.004219,0.003642,0,7.70E-05,0,0,0,0,0,0,0.997998
0,0.003259,0.037107,0.021064,0.020716,0.003229,0.002,0.035162,0.002362,0.008411,0.002709,0,0,0.005425,0.001263,0,0,0.950851
0,0.002716,0,0.241685,0,0.019599,0.1112,0.032349,1.66E-04,0.322196,0.001445,0,0.048722,0.097813,0,0.007117,0.009981,0.611311
0,0.001765,0,0.378049,0,0.034855,0.2512,0.026723,2.66E-04,0.31285,0.001677,0,0.068872,0.044075,0,0.014235,0.004869,0.477177
0,0.002988,0,0.140798,0,0.017929,0.0354,0.032349,1.83E-04,0.260164,0.001445,0,0.028271,0.106459,0,0,0.006816,0.733834
7.60E-05,0.001086,0.20014,0.095344,0.033898,0.003452,0.001,0.028129,0.002328,0.019977,1.29E-04,0,0,0.045601,0.003895,0,2.43E-04,0.775375
0,0.001901,0,0.217295,0,0.021047,0.1016,0.022504,3.99E-04,0.28528,0.001238,0,0.068571,0.018647,0,0.003559,0.003651,0.643744
0,0.001358,0.027005,0.439024,0,0.012584,0.3625,0.016878,6.15E-04,0.161215,0.02077,0,0.012932,0.008476,0,0.024911,0.005355,0.445946
0,0.002173,0,0.231707,0,0.010022,0.1032,0.035162,2.66E-04,0.315771,0.001987,2.79E-04,0.02015,0.08493,0,0.014235,0.006573,0.61982
0,0.00163,0,0.206208,0,0.010802,0.0996,0.032349,2.83E-04,0.263785,0.002941,0.001118,0.012331,0.064079,0,0.003559,0.004625,0.672873
0,0.001494,0,0.194013,0,0.010245,0.0714,0.033755,2.66E-04,0.322196,0.001754,9.30E-05,0.025564,0.083743,0,0.017794,0.005599,0.648248
8.41E-04,0.006382,0.597119,0.404656,0.018832,0.039866,0.091,0.016878,0.003992,0.123832,0.003793,2.79E-04,0.022556,0.020681,0.001947,0.021352,0.015336,0.195195
0,0.002173,0,0.223947,0,0.021381,0.0905,0.033755,1.83E-04,0.330491,0.001496,0,0.053233,0.099847,0,0.003559,0.010224,0.622823
7.60E-05,0.028924,0.574115,0.462306,0.041431,0.025278,0.199,0.04782,0.006154,0.05257,0.010243,0.001118,0.003008,0.004577,5.30E-05,0,0.005112,0.163163
0,1.36E-04,0.012202,0.005543,0,3.34E-04,0,0,0,0,3.35E-04,0,0,0.094253,0.004632,0,0.040652,0.988789
0,0.005296,0.09912,0.263858,0.00565,0.018263,0.0918,0.043601,0.002245,0.318808,0.011714,9.31E-04,0.037293,0.067808,0,0,0.012902,0.513614
0.001452,0.001765,0.160132,0.069845,0.039548,0.004009,0.002,0.015471,0.001164,0.012383,0,2.79E-04,0,0.008306,0.003684,0,0.001704,0.823323
0,0.00163,0,0.165188,0,0.010913,0.0549,0.033755,2.83E-04,0.272897,0.003045,5.59E-04,0.011729,0.068147,0,0,0.004382,0.709309
0,0.002716,0.054211,0.087583,0.007533,0.005234,0.0571,0.002813,0.003326,0.022547,0.01094,9.30E-05,0.003008,0.001695,0,0,0.003165,0.854254
0.002523,4.07E-04,0.209842,0.10643,0.045198,0.005011,0.015,0.036568,0.002777,0.039836,0.006528,0.001211,0,0.023563,0.002895,0,0.002191,0.734835
0,0.008012,0.421084,0.217295,0.116761,0.033296,0.02,0.028129,0.007468,0.096963,0.011404,0,0.003008,0.006442,1.05E-04,0,0.001704,0.46046
0,0.027023,0.076815,0.062084,0,0.001002,0.0018,0.026723,8.30E-05,0.066939,0.001987,1.86E-04,0.018346,0.008985,4.74E-04,0,0,0.853153
3.80E-05,0.01874,0.494699,0.299335,0.079096,0.039198,0.0344,0.064698,0.019825,0.121145,0.013391,0,0,0.018139,1.05E-04,0,0.004625,0.345646
3.80E-05,0.008148,0.790658,0.457871,0.07533,0.064588,0.0746,0.108298,0.019958,0.087617,7.70E-05,0,0,0.030344,1.58E-04,0,0.009007,0.048949
0,0.013036,0,0.09867,0,0.003229,0.0086,0.060478,0.001081,0.221963,0.012539,9.30E-05,0.043008,0.020173,0,0,0.024343,0.781882
0,2.72E-04,0,0.001109,0,1.11E-04,2.00E-04,0.004219,3.83E-04,0.001402,5.20E-05,0,0,1.70E-04,0,0,2.43E-04,0.994895
3.44E-04,5.43E-04,0.138628,0.067627,0.032015,0.004009,0.0077,0.021097,0.001364,0.02278,0.005031,1.86E-04,0,0.006272,0.001368,0,7.30E-04,0.826927
0,0.005024,0.687137,0.498891,0.052731,0.028731,0.181,0.046414,0.013954,0.07243,0.009882,4.66E-04,0,0.011188,2.63E-04,0,0.006329,0.057057
0.001223,0.001358,0.034307,0.025499,0.015066,0.00412,0.0059,0.002813,0.001713,0.012617,0.010088,2.79E-04,3.01E-04,0.004408,0.001053,0,0.003651,0.939339
7.60E-05,0.009506,0.433087,0.216186,0.088512,0.023385,0.015,0.088608,0.016964,0.060748,0.016281,0.002328,3.01E-04,0.013901,0,0,0.00779,0.472472
0,0.013308,0.677135,0.511086,0.077213,0.052561,0.221,0.036568,0.006702,0.05257,0.00627,9.30E-05,0.001203,0.005594,0,0,0.044304,0.042042
0,0.001494,0,0.187361,0,0.015256,0.0571,0.029536,3.16E-04,0.321262,0.002064,0.001583,0.007218,0.03899,0,0.003559,0.006573,0.676476
0,0.002716,0,0.141907,0,0.023608,0.0338,0.035162,2.33E-04,0.26729,0.001471,0,0.057444,0.113918,0,0,0.007059,0.72963
2.68E-04,0.001222,0.045709,0.083149,0,0.007238,0.0638,0.005626,0,0.005491,0.02771,9.30E-05,0,0.011866,0,0,0.004869,0.847648
1.15E-04,0.018468,0.481096,0.299335,0.062147,0.05078,0.024,0.078762,0.013355,0.154206,0.015506,0,0,0.011866,0,0,0.008763,0.34034
0,0.001086,0,0.380266,0,0.034744,0.2667,0.032349,2.33E-04,0.280841,0.001419,0,0.07609,0.055942,0,0.014235,0.013389,0.483283
0,0.006926,0.230146,0.157428,0,0.014143,0.046,0.025316,0.001963,0.024416,0.003922,0.001304,0.002707,0.003051,1.58E-04,0,0.007546,0.695295
2.68E-04,0.002852,0.091818,0.049889,0.086629,0.006236,0.005,0.043601,0.00454,0.036332,0.007457,9.30E-05,0,0.014748,0.002632,0,0.003895,0.865866
0.002446,0.001086,0.329066,0.247228,0.015066,0.005568,0.1,0.008439,0.002528,0.022196,0.005005,9.31E-04,0,0.003899,4.74E-04,0,0.022882,0.544545
0.002523,4.07E-04,0.209842,0.10643,0.045198,0.005011,0.015,0.036568,0.002777,0.039836,2.60E-05,0.001211,0,0.023563,0.002895,0,0.002191,0.734835
0,0,0,0.256098,0,4.45E-04,0,0,2.99E-04,0,2.60E-05,0,0,1.70E-04,0,0,0,0.666667
0,0.006247,0.734147,0.498891,0.030132,0.038976,0.168,0.029536,0.00607,0.045561,0.010475,9.30E-05,0,0.003051,0,0,0.025803,0.051051
0,0.002037,0,0.210643,0,0.013474,0.0741,0.035162,3.16E-04,0.337967,0.002219,0.00149,0.009925,0.079675,0,0.003559,0.006573,0.638539
0,0.001765,0,0.176275,0,0.010356,0.0399,0.030942,2.99E-04,0.337383,0.001677,7.45E-04,0.006917,0.055942,0,0.003559,0.006573,0.680881
0,5.43E-04,0.003801,0.017738,0,0.002339,0.0057,0.001406,0.001696,0.023598,0.007895,0,0.003008,0.001695,0,0,4.87E-04,0.96046
