Beta_Carot,Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12,Vit_B6_(mg),Vit_C_(mg),Vit_D,Vit_E_(mg),Water_(g)
0,0.00421,0.724145,0.480044,0.06403,0.044655,0.142,0.074543,0.011575,0.077103,0.017803,2.79E-04,0.002707,0.008646,0,0,0.017527,0.045045
0,0.002037,0,0.154102,0,0.022494,0.0505,0.032349,2.49E-04,0.256542,0.001909,0,0.063459,0.082895,0,0.003559,0.007059,0.725826
0,0.003531,0.638728,0.525499,0.045198,0.035635,0.2331,0.054852,0.006154,0.059813,0.008876,0,0.001805,0.004238,0,0,0.054528,0.064865
0,0.020369,0.730146,0.474501,0.045198,0.050111,0.156,0.066104,0.003709,0.068925,0.021286,9.30E-05,0,0.006611,0,0,0.02702,0.031031
3.80E-05,0.00163,0.533107,0.282705,0.067797,0.034298,0.012,0.043601,0.014353,0.125,0.015223,9.30E-05,0,0.007289,1.05E-04,0,0.008033,0.329329
0.002676,0.00421,0.040008,0.018847,0.018832,0.010802,0.0013,0.015471,0.001281,0.009112,0.00369,5.59E-04,0,0.018817,0.004895,0,0.016553,0.943744
0,9.51E-04,0.0024,0.202882,0,0.015813,0.0935,0.030942,4.32E-04,0.28493,0.020899,9.30E-05,0.017444,0.074589,0,0.02847,0.008033,0.637337
0,0.011543,0.40208,0.261641,0.077213,0.046102,0.046,0.046414,0.01254,0.110981,0.010656,0,0,0.007628,0,0,0.011685,0.44044
3.44E-04,0.001222,0.113823,0.150776,0,3.34E-04,0.0997,0,0,0.011682,0.002038,9.30E-05,0,0,0,0,0.019718,0.773473
0.002637,0.001358,0.018004,0.021064,0.003766,0.004454,0.001,0.004219,0.004989,0.033879,0.007818,5.59E-04,0,0.010171,0.001526,0,0.004382,0.938639
0,9.51E-04,0.008502,0.096452,0,0.013252,0.0341,0.018284,6.15E-04,0.164369,0.001109,0,0.057143,0.006272,6.32E-04,0.003559,0.004625,0.811411
0,0.003531,0,0.230599,0,0.019933,0.0973,0.035162,3.49E-04,0.328271,0.001754,0,0.010526,0.069503,0,0,0.008277,0.617618
0,0.001494,0,0.168514,0,0.008686,0.0781,0.033755,4.49E-04,0.22278,0.001961,0,0.038195,0.083065,0,0,0.006086,0.719219
7.60E-05,0.003259,0.513403,0.501109,0.035782,0.044543,0.2525,0.042194,0.010644,0.057593,0.008411,3.73E-04,0.003008,0.004068,6.84E-04,0,0.049172,0.167768
0,0.001222,0.0017,0.237251,0,0.007684,0.1595,0.026723,2.66E-04,0.191238,0.002167,0.002608,0.016842,0.053907,1.05E-04,0.003559,0.005355,0.673674
0,0.006247,0.677135,0.466741,0.037665,0.028174,0.169,0.050633,0.00474,0.046729,0.004335,9.30E-05,0.005113,0.01051,5.30E-05,0,0.003408,0.101101
0,9.51E-04,0.080516,0.04102,0,6.68E-04,0.0012,0.009845,2.16E-04,0.002453,3.35E-04,0,6.02E-04,0.004577,2.63E-04,0,0,0.912412
7.64E-04,0.002173,0.095619,0.047672,0.052731,0.008909,0.0017,0.032349,0.005472,0.018808,0.002012,1.86E-04,0,0.011358,0.002579,0,9.74E-04,0.876677
3.80E-05,0.006518,0.736147,0.488914,0.035782,0.026503,0.152,0.019691,0.004357,0.058411,0.010011,7.45E-04,0.00391,0.012375,0,0,0.005599,0.051051
0,6.79E-04,0,0.126386,0,0.00412,0.0259,0.036568,2.49E-04,0.248014,0.002993,8.38E-04,0.006015,0.126971,6.32E-04,0.003559,0.004625,0.758659
0,0.00258,0,0.201774,0,0.02049,0.0637,0.035162,1.83E-04,0.341706,0.001548,0,0.049323,0.106459,0,0.003559,0.00925,0.643343
0,8.15E-04,0.015103,0.0898,0,0.008463,0.0245,0.015471,6.15E-04,0.153271,0.001006,0,0.049624,0.008306,0,0.024911,0.006816,0.824525
0,0.002716,0.005901,0.168514,0,0.005679,0.045,0.039381,6.82E-04,0.318224,0.011198,6.52E-04,0.010226,0.080861,0,0.003559,0.005599,0.655956
0,0.001086,0,0.247228,0,0.03029,0.0886,0.030942,2.00E-04,0.392056,0.001135,0,0.056241,0.074758,0,0.007117,0.010954,0.573874
2.29E-04,0.002444,0.214443,0.107539,0.043315,0.011915,0.0013,0.042194,0.003792,0.030724,3.61E-04,9.30E-05,0,0.06001,0.004368,0,0.001704,0.745245
0,0.003938,0.639128,0.449002,0.039548,0.025056,0.163,0.043601,0.002129,0.056075,0.006631,0.001863,0.002105,0.005933,0,0,0.003651,0.136136
0,0.012357,0.5021,0.307095,0.060264,0.030178,0.043,0.028129,0.009297,0.100467,0.013081,0,0,0.006611,0,0,0.007303,0.348348
0.001147,8.15E-04,0.219544,0.094235,0.041431,0.004343,0.0013,0.002813,0.004357,0.004673,2.60E-05,1.86E-04,0,0.010002,5.26E-04,0,0.012658,0.774775
1.15E-04,0.006247,0.506501,0.44235,0.039548,0.041759,0.191,0.025316,0.006403,0.072547,0.008153,4.66E-04,0.003308,0.006272,6.32E-04,0,0.03481,0.226226
0,8.15E-04,0.008402,0.126386,0,0.009354,0.0313,0.030942,4.49E-04,0.239953,0.03042,0.001211,0.012632,0.078149,0,0.02847,0.006573,0.716917
0,4.07E-04,0.614823,0.259424,0,3.34E-04,0,0.002813,0.001131,0,0.002116,0,0,0,0,0,0,0.38018
0,5.43E-04,0.006901,0.143016,0,0.008352,0.0575,0.026723,1.70E-05,0.217991,0.022731,0.001118,0.012932,0.060349,0,0.024911,0.004869,0.706907
5.73E-04,0.00516,0.663133,0.272727,0.013183,0.00167,0,0.002813,3.33E-04,0.003505,0.001445,2.79E-04,0,0.003221,0.002526,0,0.001461,0.332332
0,5.43E-04,0.108122,0.047672,0.001883,2.23E-04,0.0015,0.002813,5.00E-05,5.84E-04,1.03E-04,0,0,5.09E-04,0.001632,0,4.87E-04,0.88969
0,0.00258,0,0.37694,0,0.019042,0.2875,0.019691,2.83E-04,0.221729,0.001109,0,0.070075,0.013562,0,0.003559,0.002434,0.502302
0,0.002852,0,0.146341,0,0.011136,0.0544,0.035162,4.66E-04,0.225935,0.002141,0,0.041203,0.074589,0,0,0.006573,0.741241
0,6.79E-04,0.191738,0.08204,0.030132,0.00245,0.0013,0.005626,5.32E-04,0.002336,1.29E-04,0,0,0.002373,5.79E-04,0,0.001947,0.804304
0,0.004481,0.152631,0.100887,0.096045,0.018597,0.0117,0.053446,0.005488,0.063201,0.011585,0,0,0.018647,0.003158,0,0.001217,0.762262
0,0.001358,0.457091,0.618625,0.028249,0.028953,0.385,0.022504,0.008233,0.086449,0.006528,0,0,0.003221,0,0,0.013389,0.074074
0,0.015617,0.79916,0.468958,0.013183,0.017483,0.098,0.012658,0.004657,0.046729,0.017725,0,0.001504,0.002712,0,0,0.018744,0.04004
0,1.36E-04,0.078416,0.035477,0,0.001002,5.00E-04,0,0,0,5.68E-04,0,0.041203,0.025937,0,0,0,0.92002
0,0.001222,0.032707,0.039911,0.001883,0.002339,0.0207,0.005626,0.002495,0.012967,0.010088,0.00149,0.007218,0.002543,0,0,0,0.924725
0,0.001494,0,0.274945,0,0.019599,0.1934,0.025316,0.001048,0.215421,0.001419,4.66E-04,0.052632,0.07408,0,0.003559,0.003408,0.615315
0,0.005839,0.610122,0.313747,0.020716,0.02294,0.012,0.014065,0.002279,0.063084,0.008798,0.002701,0,0.002034,0,0,2.43E-04,0.31031
0.003822,0.001086,0.074115,0.075388,0.001883,0.007461,0.0321,0.009845,0.004989,0.029322,0.019944,0.001583,0,0.005086,4.21E-04,0,0.021665,0.846847
0,0.017382,0.047409,0.069845,0,5.57E-04,0.034,0.018284,3.30E-05,0.038902,0.001471,1.86E-04,0.010226,0.006781,4.74E-04,0,0.003165,0.878178
3.80E-05,4.07E-04,0.036607,0.026608,0.00565,0,0.0057,0,0.001331,0.011332,0.010011,0,9.02E-04,0.001695,0,0,4.87E-04,0.939339
0,0.002716,0,0.155211,0,0.023608,0.0478,0.035162,2.33E-04,0.26507,0.001471,0,0.056842,0.1129,0,0.003559,0.007303,0.715115
0,0.002173,0,0.329268,0,0.026949,0.1917,0.026723,1.66E-04,0.338084,0.001213,0,0.06406,0.047974,0,0.007117,0.012415,0.51952
0,0.010592,0.553711,0.570953,0.067797,0.013474,0.3053,0.087201,0,0.119626,0.009211,0.001583,0.00782,0.016952,1.58E-04,0,0.003651,0.014414
0,8.15E-04,0,0.192905,0,0.025612,0.062,0.025316,1.66E-04,0.321612,9.29E-04,0,0.045714,0.062553,0,0.003559,0.00852,0.668168
0,2.72E-04,0.002,0.001109,0,8.91E-04,0,0.001406,7.32E-04,0,2.60E-05,0,0,0,0,0,0,0.997998
0,8.15E-04,0.003001,0.004435,0,2.23E-04,0.0023,0.002813,5.00E-05,0.003271,0.010346,0,0,3.39E-04,0,0,2.43E-04,0.983784
0,0.00258,0,0.239468,0,0.022272,0.0973,0.039381,4.66E-04,0.35035,0.002167,0,0.075789,0.027123,0,0.003559,0.003895,0.61041
0,0.001086,0.818564,0.481153,0.030132,0.006347,0.1136,0.021097,0.007684,0.011682,0.017596,0,0,0.008476,1.58E-04,0,0.001704,0.037037
0,0.002852,0,0.18847,0,0.020156,0.0496,0.035162,1.83E-04,0.342757,0.0016,0,0.042105,0.109849,0,0.003559,0.009007,0.655355
0,0.004345,0.030806,0.101996,0,0.007572,0.0138,0.046414,5.82E-04,0.182009,0.001135,9.31E-04,0.039098,0.009493,0.002474,0,0.029211,0.786286
0,0.011678,0.557111,0.304878,0.041431,0.029176,0.012,0.036568,0.008,0.106308,0.013829,0,0,0.005764,0,0,0.007303,0.321321
0,0.001901,0,0.099778,0,0.002339,0.0055,0.036568,2.16E-04,0.233528,0.006734,0.001956,0.06406,0.055433,0,0.021352,0.013389,0.797297
2.68E-04,0.016567,0.04961,0.037694,0,3.34E-04,8.00E-04,0.015471,5.00E-05,0.039369,0.001084,1.86E-04,0.015038,0.006272,0,0,2.43E-04,0.909309
0,5.43E-04,0.016403,0.032151,0,3.34E-04,0,0.007032,1.00E-04,0.002804,1.03E-04,0,6.02E-04,0.005764,0,0,0,0.94975
0,0.003259,0.038308,0.18071,0.024482,0.011359,0.086,0.030942,0.009264,0.193925,0.033645,0,0.012632,0.055772,0.002105,0.024911,0.001947,0.673373
0.002408,0.003531,0.045009,0.022173,0.024482,0.010022,0.001,0.018284,0.003326,0.013435,0.006476,4.66E-04,0,0.006272,0.002526,0,0.007059,0.933934
7.60E-05,0.00163,0.174535,0.078714,0.018832,0.01314,3.00E-04,0.019691,0.002511,0.007126,1.03E-04,0,0,0.036955,0.002158,0,0.002921,0.813213
0,0.004753,0.661132,0.533259,0.097928,0.034855,0.264,0.054852,0.006187,0.042056,0.008411,1.86E-04,0.001504,0.007459,0,0,0.005355,0.02002
8.41E-04,0.001358,0.003601,0.162971,0,0.024722,0.0582,0.02391,4.49E-04,0.254673,0.022834,1.86E-04,0.056241,0.037464,1.58E-04,0.003559,0.002921,0.695996
0,0.00258,0,0.216186,0,0.020935,0.0763,0.035162,1.83E-04,0.345561,0.0016,0,0.050827,0.107645,0,0.003559,0.00925,0.643343
0,0.001086,0.042108,0.115299,0.009416,0.016036,0.0166,0.029536,2.99E-04,0.199416,0.026188,9.31E-04,0.002707,0.021699,0.003,0.003559,0.002191,0.741441
0,0.002852,0,0.155211,0,0.010022,0.0564,0.032349,2.00E-04,0.242523,0.001729,0,0.030376,0.097813,0,0.017794,0.006086,0.729129
0,0.001494,0,0.08204,0,0.001893,0.0045,0.029536,1.83E-04,0.190654,0.005496,0.001583,0.055038,0.047635,0,0.017794,0.010954,0.834635
0,0.00163,0.929186,0.41796,0,1.11E-04,0.006,0.001406,0,0,0.037179,9.30E-05,6.02E-04,3.39E-04,0,0,4.87E-04,0.026026
0,0.005432,0,0.219512,0,0.01637,0.0648,0.039381,6.32E-04,0.381542,0.002606,0,0.060451,0.04238,0,0,0.010954,0.592993
0,8.15E-04,0.067013,0.221729,0.003766,0.001448,0.2,0.002813,3.33E-04,0.003505,0.02771,0,0.002105,0.005086,2.11E-04,0,0.014362,0.700701
0,0.002173,0,0.196231,0,0.008241,0.1014,0.032349,1.66E-04,0.234579,0.001393,1.86E-04,0.019248,0.10595,5.30E-05,0.017794,0.003895,0.691992
0,2.72E-04,0,0,0,5.57E-04,0,0.007032,4.49E-04,0.001168,5.20E-05,0,0,0,0,0,0,0.993994
0,5.43E-04,0.078116,0.032151,0.030132,0.002339,3.00E-04,0.005626,5.65E-04,0.00222,5.20E-05,0,0,0.002373,5.26E-04,0,0.001947,0.919019
0,9.51E-04,0,0.230599,0,0.025501,0.0965,0.025316,1.66E-04,0.330724,9.55E-04,0,0.047218,0.063062,0,0.007117,0.009981,0.62032
4.97E-04,0.004753,0.645129,0.556541,0.033898,0.030512,0.241,0.02391,0.007118,0.071262,0.01174,0.001676,0.002707,0.013731,0,0.003559,0.008033,0.037037
0,0.002444,0.043009,0.02439,0.011299,0.004454,0.001,0.012658,0.002362,0.029206,1.55E-04,0,0.003008,0.018647,0,0.003559,2.43E-04,0.922122
6.12E-04,0.001222,0.057011,0.026608,0.06403,0.002673,0.0019,0.019691,0.004158,0.011799,5.20E-05,9.30E-05,0,0.01424,0.001158,0,0.007303,0.925025
0,0.002716,0,0.269401,0,0.023831,0.1346,0.030942,4.16E-04,0.331425,0.001858,0,0.068571,0.016952,0,0.003559,0.004382,0.568569
3.80E-05,6.79E-04,0.185937,0.0898,0.037665,0.009577,0.01,0.028129,0.002877,0.030607,0.008334,0,0,0.007967,0.004474,0,0.001704,0.76997
0,0.001358,0.0011,0.176275,0,0.007016,0.0929,0.028129,2.83E-04,0.205491,0.002683,0.001304,0.016541,0.056281,0,0.003559,0.004625,0.725325
8.03E-04,0.002173,0.09962,0.04878,0.037665,0.008797,0.0018,0.032349,0.005422,0.019626,0.007353,1.86E-04,0,0.011358,0.001895,0,9.74E-04,0.871471
0,0.001222,0,0.302661,0,0.030401,0.1737,0.032349,2.66E-04,0.319276,0.0016,0,0.075489,0.055942,0,0.010676,0.004382,0.53984
0.001796,6.79E-04,0.160732,0.292683,0,2.23E-04,0.223,0.001406,7.48E-04,0.011449,0.0016,3.73E-04,0,0,0,0,0.020691,0.604304
0,8.15E-04,0.008202,0.136364,0,0.008575,0.0378,0.030942,1.66E-04,0.249416,0.001677,2.79E-04,0.014737,0.097474,0,0.014235,0.004382,0.73013
0,0.004345,0,0.274945,0,0.02784,0.1644,0.028129,2.00E-04,0.273949,0.002245,0,0.075789,0.058315,0,0.007117,0.010711,0.587487
0,8.15E-04,0,0.181818,0,0.026169,0.0467,0.026723,1.66E-04,0.33236,9.80E-04,0,0.04391,0.06357,0,0.003559,0.008763,0.666767
0.001529,0.004074,0.087518,0.052106,0.011299,0.004454,0.0087,0.007032,5.32E-04,0.011332,0.029129,3.73E-04,0.009323,0,2.11E-04,0,0.0185,0.86036
0,0.002037,0.281056,0.241685,0.037665,0.016815,0.115,0.02391,0.003709,0.036916,8.77E-04,0,0,0.02136,0.003316,0,0.004625,0.561562
0,4.07E-04,0.905181,0.422395,0,0.001448,0,0.002813,1.83E-04,0.091121,0.012023,0,0,1.70E-04,0,0,0,0.01001
0,0.015752,0.603221,0.44235,0.060264,0.040089,0.1593,0.050633,0.008066,0.042407,0.008566,9.30E-05,0.001805,0.024241,0.001,0,0.026534,0.185886
0,4.07E-04,0.144029,0.062084,0,5.57E-04,0,0.001406,1.70E-05,3.50E-04,7.70E-05,0,0,0.001356,0,0,0,0.856657
0,0.001901,0.163233,0.329268,0.016949,0.009243,0.1882,0.035162,0.001879,0.182126,0.01481,4.66E-04,0.009925,0.025089,3.16E-04,0.007117,0.027264,0.471271
0,6.79E-04,0.030706,0.17184,0,0.018151,0.0578,0.030942,2.49E-04,0.249065,0.017545,0,0.045714,0.04577,0,0.007117,0.00925,0.679079
0,0.011407,0.587117,0.284922,0.003766,0.002561,0.003,0.011252,0.001048,0.071262,0.013184,0,9.02E-04,0.001017,0,0,2.43E-04,0.329329
0,0.001494,0.009402,0.149667,0,0.026726,0.0595,0.026723,3.16E-04,0.213551,0.001909,0.002235,0.01203,0.057637,0.003053,0.003559,0.01704,0.738438
3.80E-05,5.43E-04,0.195639,0.088692,0.045198,0.003898,0.0043,0.026723,0.002112,0.032126,0.006321,0,0,0.021868,0.001632,0,0.001704,0.768068
0,0.006654,0.485097,0.404656,0.024482,0.036748,0.165,0.02391,0.00652,0.07243,0.024305,0,0.004211,0.007967,0,0,0.032132,0.267267
0,0.006382,0.64813,0.508869,0.037665,0.007016,0.216,0.060478,0.005838,0.063084,0.005934,0,0.001805,0.00712,0,0,0.022639,0.06997
0,0.002309,0.208842,0.127494,0.131827,0.026615,0.0038,0.060478,0.008582,0.091121,5.20E-05,0,0,0.027293,0,0,0.004382,0.698599
0,0.001765,0,0.203991,0,0.010245,0.0742,0.030942,2.99E-04,0.319977,0.0016,0.002328,0.006316,0.049161,0,0.003559,0.006573,0.662763
0,0.001222,0,0.184035,0,0.021826,0.0904,0.029536,0.001214,0.247897,0.001651,1.86E-04,0.058346,0.082726,0,0.003559,0.003651,0.693093
0,4.07E-04,0.087718,0.037694,0,0.002004,0,0.001406,2.16E-04,0,1.81E-04,0,0,0,0,0,0,0.913213
0,0.006654,0,0.128603,0,0.01559,0.0096,0.075949,4.99E-04,0.294743,0.019686,0.002235,0.04812,0.067808,0,0.02847,0.013389,0.715516
0,0.001494,0.526105,0.331486,0.035782,0.035746,0.06,0.021097,0.007917,0.082944,0.012462,0,0,0.005086,0,0,0.001947,0.326326
0,0.002173,0.005101,0.207317,0,0.012695,0.0471,0.043601,3.49E-04,0.390654,0.002038,6.52E-04,0.011128,0.108493,0,0.003559,0.010224,0.602703
0,4.07E-04,0.002901,0.002217,0,0.001225,3.00E-04,0.001406,0.00178,0.001285,2.06E-04,0,0,0,0,0,0,0.996396
0,0.008827,0.39808,0.261641,0.084746,0.034744,0.044,0.049226,0.012956,0.121495,0.010501,1.86E-04,0,0.012375,0,0,0.010711,0.44044
0,6.79E-04,0.133027,0.056541,0,5.57E-04,0,0.001406,2.16E-04,0,3.10E-04,0,0,0,0,0,0,0.867868
1.15E-04,0.001901,0.277556,0.210643,0.047081,0.007127,0.0862,0.02391,0.002112,0.023949,0.012385,0,0,0.021699,0.003316,0,0.005599,0.597598
1.15E-04,5.43E-04,0.109022,0.068736,0.033898,0.003341,0.009,0.009845,3.33E-04,0.030374,2.32E-04,0,6.02E-04,0.011866,5.30E-05,0.003559,0.001704,0.853854
0,2.72E-04,0.076815,0.043237,0.067797,0.005902,0.0035,0.026723,0.003709,0.040304,1.29E-04,0,0,0.029497,0,0.017794,0,0.878278
0,9.51E-04,0,0.254989,0,0.018263,0.169,0.028129,0.001197,0.228388,0.00129,4.66E-04,0.048421,0.065774,0,0.003559,0.002434,0.631431
0,0.014666,0.495099,0.296009,0.043315,0.033742,0.036,0.033755,0.00637,0.095794,6.97E-04,0,9.02E-04,0.010849,0,0,0.005355,0.367367
0.001338,0.008963,0.807161,0.443459,0.071563,0.043541,0.078,0.112518,0.012706,0.074766,0.007611,3.73E-04,0,0.031361,0,0,0.020691,0.033033
0,5.43E-04,0.013003,0.006652,0.007533,8.91E-04,4.00E-04,0.007032,3.16E-04,0.001168,1.29E-04,0,0,0.002034,0,0,4.87E-04,0.984685
0,0.003123,0.157532,0.320399,0.015066,0.007238,0.1675,0.039381,0.003576,0.218925,0.022112,4.66E-04,0.005414,0.084252,0,0.007117,0.021908,0.460661
7.60E-05,6.79E-04,0.007802,0.007761,0,0.001002,8.00E-04,0.004219,2.00E-04,0.010164,0.034186,0,6.02E-04,0.001865,5.30E-05,0,2.43E-04,0.948448
0,0.001358,0,0.39357,0,0.026169,0.2851,0.028129,2.33E-04,0.268808,0.001651,0,0.070376,0.03899,0,0.017794,0.005599,0.477778
0,0.002309,0,0.207317,0,0.022383,0.0672,0.035162,1.83E-04,0.344743,0.001574,0,0.049323,0.092897,0,0.003559,0.009494,0.633333
0,8.15E-04,4.00E-04,0.019956,0,3.34E-04,0,0.001406,9.15E-04,0,5.20E-05,0,0,0,0,0,0,0.948749
1.91E-04,0.016431,0.046609,0.067627,0,5.57E-04,0.0325,0.016878,6.70E-05,0.040537,0.001187,0.002515,0.011128,0.005425,2.63E-04,0.003559,0.001461,0.87988
0,0.002173,0.055411,0.254989,0.041431,0.018263,0.2384,0.052039,0.015234,0.026752,3.87E-04,0,0,0.005594,0.001474,0,0.003651,0.676877
1.15E-04,9.51E-04,0.69964,0.2949,0.018832,0.002116,2.00E-04,0.008439,0.002195,0.001752,7.74E-04,0,0,0.00339,4.74E-04,0,0,0.297998
0,4.07E-04,0.813163,0.35255,0.001883,0.002561,0.002,0.002813,1.33E-04,0.021028,0.002064,0,0,5.09E-04,0,0,0,0.164164
0,0.010456,0.810162,0.468958,0.013183,0.015145,0.095,0.012658,0.004624,0.045561,0.017158,0,0.001203,0.003051,0,0,0.001947,0.035035
0,0.002309,0,0.227273,0,0.032183,0.0635,0.032349,2.00E-04,0.404206,0.001471,0,0.070075,0.054416,0,0.003559,0.010467,0.593493
0,0.001222,0.026005,0.090909,0,0.003007,0,0.014065,0.001946,8.18E-04,1.29E-04,0,0,0.008476,0,0,0,0.869469
0,0,0.492098,0.044346,0.056497,0,0,0,0,0.009346,5.42E-04,0,0,0,0,0,0,0.500501
0,8.15E-04,0,0.208426,0,0.024276,0.0821,0.02391,1.50E-04,0.312967,9.03E-04,0,0.044812,0.059671,0,0.007117,0.00925,0.647347
0,0.003395,0,0.18847,0,0.019822,0.0497,0.036568,3.49E-04,0.342523,0.001806,0,0.011128,0.077979,0,0.007117,0.008033,0.649449
0,0.004345,0,0.250554,0,0.012249,0.0915,0.037975,6.32E-04,0.392173,0.002167,0,0.039699,0.047466,0,0,0.010224,0.57017
0,0.003802,0,0.165188,0,0.01804,0.0629,0.032349,2.33E-04,0.253738,0.001471,0,0.035489,0.101034,0,0.003559,0.007546,0.687888
0,0.003259,0.075915,0.296009,0.009416,0.011024,0.1692,0.030942,0.002162,0.246846,0.015248,0.002049,0.017744,0.038481,0,0.003559,0.008033,0.51972
0.00172,0.002173,0.036307,0.01663,0.009416,0.003118,0.0011,0.018284,0.001314,0.007593,5.20E-05,4.66E-04,0,0.006781,0.001474,0,7.30E-04,0.953253
0,0.001222,0,0.322616,0,0.029844,0.1971,0.032349,2.49E-04,0.308645,0.001625,0,0.074286,0.057637,0,0.010676,0.004382,0.528228
1.15E-04,0.023357,0.697139,0.504435,0.035782,0.039866,0.158,0.030942,0.009181,0.088785,0.015274,0.00149,0.002406,0.006272,1.05E-04,0,0.029698,0.047047
0.003478,0.001358,0.145129,0.063193,0.011299,0.003786,0.0015,0.004219,2.16E-04,0.001986,1.29E-04,0.001676,0,0.001526,0.001579,0,0.005842,0.851051
9.94E-04,6.79E-04,0.228446,0.09867,0.048964,0.002895,0.0033,0.037975,0.00449,0.012734,2.60E-05,2.79E-04,0,0.062214,0.004579,0,0.002434,0.74985
2.68E-04,0.013308,0.130026,0.101996,0.011299,0.046548,0.0308,0.021097,0.001064,0.035631,9.80E-04,0.002049,0.008722,0.006103,0.001895,0,0.002191,0.802903
0,0.003259,0,0.150776,0,0.006793,0.048,0.035162,1.50E-04,0.254556,0.001548,0,0.015038,0.124597,0,0.017794,0.003165,0.724725
0.002255,0.001901,0.171534,0.074279,0.016949,0.003229,0.0035,0.007032,0.011941,0.00736,5.20E-05,4.66E-04,0,0.018647,0.002105,0,0.004625,0.813814
0,0.003259,0,0.241685,0,0.016147,0.0781,0.036568,6.65E-04,0.402336,0.002554,0,0.046015,0.057637,0,0,0.00852,0.561361
0,6.79E-04,0.935187,0.420177,0.011299,8.91E-04,0.004,0,1.33E-04,0.003505,0.016384,0,0,0,0,0,0,0.039039
3.80E-05,0.008691,0.709142,0.385809,0.086629,0.032294,0.073,0.037975,0.005705,0.043224,0.00903,8.38E-04,0.002707,0.012714,1.58E-04,0,0.015823,0.165165
0,0.001358,0,0.288248,0,0.019265,0.2096,0.025316,0.001064,0.209346,0.001471,4.66E-04,0.052331,0.0673,0,0.007117,0.003651,0.604104
0,0.003531,0,0.206208,0,0.007572,0.0836,0.035162,1.16E-04,0.301285,0.001471,0,0.015639,0.114426,0,0.02847,0.002434,0.652052
0,4.07E-04,0.980196,0.436807,0,0.003341,0.002,0.004219,1.66E-04,0,9.80E-04,0,0,5.09E-04,0,0,0,0.013013
0,0.001086,0.038708,0.036585,0.009416,0.003786,0.0107,0.002813,0.002495,0.023715,0.010707,0,0.003308,0.005086,2.11E-04,0,7.30E-04,0.919319
7.60E-05,0.003395,0.062813,0.059867,0.011299,0.007127,0.0175,0.035162,0.003709,0.038201,0.001316,0,0,0.013053,0,0,0.002678,0.881381
0,4.07E-04,0.141928,0.068736,0,2.23E-04,0,0.001406,3.30E-05,0.014252,0.001935,0,0,0,0,0,0,0.844745
0,0.01969,0,0.110865,0,0.023719,0.0136,0.046414,0.006586,0.238551,0.020047,0,0.022256,0.001695,0.002158,0,0.026777,0.759259
0,0.018876,0.55051,0.305987,0.056497,0.054566,0.0221,0.039381,0.011975,0.103621,0.009521,0,0,0.01051,7.37E-04,0,0.008763,0.321021
0,5.43E-04,0.123025,0.055432,0.047081,0.009688,6.00E-04,0.007032,0.002678,0.01028,2.06E-04,0,0,0.026954,6.84E-04,0,0.012171,0.865065
0,0.001901,0,0.146341,0,0.013363,0.0571,0.030942,2.16E-04,0.218808,0.001677,0,0.027368,0.08832,0,0.021352,0.005842,0.743844
0,0.004889,0.729146,0.508869,0.037665,0.008797,0.189,0.067511,0.008149,0.063084,0.005934,0,0.001203,0.011697,0,0,0.04187,0.012312
3.80E-05,0.002988,0.066813,0.050998,0.013183,0.006125,0.0142,0.002813,0.003326,0.035748,0.018886,2.79E-04,0,0.006781,5.26E-04,0,0.005355,0.864364
0,0.001901,0,0.21286,0,0.015145,0.0898,0.028129,3.33E-04,0.303388,0.001909,0.001956,0.006617,0.035599,0,0.003559,0.006573,0.658959
1.15E-04,0.003123,0.076015,0.120843,0.003766,0.007795,0.073,0.009845,0.001663,0.040888,0.017055,8.38E-04,0.001504,0.006781,0,0,0.015579,0.804805
0,0.003531,0,0.18071,0,0.019822,0.0344,0.030942,4.49E-04,0.360397,0.002012,0,0.012331,0.100017,0,0.007117,0.002191,0.656657
0,0.004345,0.0013,0.230599,0,0.025612,0.0982,0.032349,3.83E-04,0.325584,0.001987,0,0.010827,0.055942,0,0.003559,0.015093,0.612513
0,8.15E-04,0,0.191796,0,0.007127,0.0628,0.036568,1.16E-04,0.318107,0.001213,0,0.016541,0.120868,0,0.014235,0.002434,0.656657
0,0.00163,0,0.207317,0,0.010468,0.1073,0.029536,2.99E-04,0.265421,0.002864,0.001118,0.012331,0.058824,0,0.003559,0.004138,0.663964
7.60E-05,0.023221,0.138028,0.094235,0,7.80E-04,0.0125,0.022504,6.70E-05,0.057593,0.001703,0.001118,0.01594,0.007628,4.21E-04,0,4.87E-04,0.790791
3.80E-05,0.001086,0.026105,0.094235,0,0.005122,0,0.016878,0.002195,8.18E-04,1.03E-04,0,0,0.009663,0,0,0,0.865766
0.001949,0.002037,0.033007,0.017738,0.035782,0.003675,0.0017,0.026723,0.002129,0.012033,0.006115,3.73E-04,0,0.014409,0.005684,0,0.002921,0.950951
0,0.001086,0.002501,0.242794,0,0.007461,0.1661,0.026723,2.66E-04,0.18972,0.001987,0.002142,0.019248,0.058145,0,0.003559,0.005112,0.666767
0,0,0.967193,0.399113,0.045198,0,0.003,0,0,0,2.60E-05,0,0,0,0,0,0,0.026026
